"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval
	"Bullock County, AL"	"01011"	"2011"	"2011"	12	10542	Unreliable	58.8	198.8	Unreliable	59.7	201.7
	"Bullock County, AL"	"01011"	"2012"	"2012"	12	10474	Unreliable	59.2	200.1	Unreliable	57.5	194.5
	"Bullock County, AL"	"01011"	"2013"	"2013"	18	10639	Unreliable	100.3	267.4	Unreliable	92.1	245.5
	"Butler County, AL"	"01013"	"2009"	"2009"	19	20867	Unreliable	54.8	142.2	Unreliable	49.2	131.2
	"Butler County, AL"	"01013"	"2010"	"2010"	33	20947	157.5	108.4	221.2	119.9	82.0	169.3
	"Butler County, AL"	"01013"	"2011"	"2011"	28	20650	135.6	90.1	196.0	111.1	71.9	164.0
	"Butler County, AL"	"01013"	"2012"	"2012"	36	20307	177.3	124.2	245.4	155.7	106.5	219.8
	"Butler County, AL"	"01013"	"2013"	"2013"	24	20265	118.4	75.9	176.2	100.8	63.1	152.5
	"Calhoun County, AL"	"01015"	"2009"	"2009"	132	118363	111.5	92.5	130.5	111.1	91.9	130.3
	"Calhoun County, AL"	"01015"	"2010"	"2010"	126	118572	106.3	87.7	124.8	106.0	87.2	124.7
	"Calhoun County, AL"	"01015"	"2011"	"2011"	178	117797	151.1	128.9	173.3	146.6	124.7	168.4
	"Calhoun County, AL"	"01015"	"2012"	"2012"	160	117296	136.4	115.3	157.5	131.5	110.9	152.1
	"Calhoun County, AL"	"01015"	"2013"	"2013"	150	116736	128.5	107.9	149.1	119.0	99.7	138.3
	"Chambers County, AL"	"01017"	"2009"	"2009"	35	34384	101.8	70.9	141.6	88.6	61.0	124.4
	"Chambers County, AL"	"01017"	"2010"	"2010"	46	34215	134.4	98.4	179.3	117.3	85.2	157.5
	"Chambers County, AL"	"01017"	"2011"	"2011"	41	33939	120.8	86.7	163.9	105.1	74.7	143.6
	"Chambers County, AL"	"01017"	"2012"	"2012"	57	34064	167.3	126.7	216.8	157.0	117.6	205.4
	"Chambers County, AL"	"01017"	"2013"	"2013"	54	34162	158.1	118.7	206.2	143.7	106.7	189.5
	"Cherokee County, AL"	"01019"	"2009"	"2009"	26	25854	100.6	65.7	147.4	99.7	64.5	147.2
	"Cherokee County, AL"	"01019"	"2010"	"2010"	30	25989	115.4	77.9	164.8	110.2	73.2	159.3
	"Cherokee County, AL"	"01019"	"2011"	"2011"	35	26057	134.3	93.6	186.8	127.0	86.9	179.3
	"Cherokee County, AL"	"01019"	"2012"	"2012"	51	26021	196.0	145.9	257.7	186.2	136.8	247.7
	"Cherokee County, AL"	"01019"	"2013"	"2013"	45	26203	171.7	125.3	229.8	170.5	122.9	230.5
	"Chilton County, AL"	"01021"	"2009"	"2009"	63	43484	144.9	111.3	185.4	145.4	111.5	186.4
	"Chilton County, AL"	"01021"	"2010"	"2010"	65	43643	148.9	114.9	189.8	154.6	119.1	197.4
	"Chilton County, AL"	"01021"	"2011"	"2011"	50	43895	113.9	84.5	150.2	114.0	84.3	150.7
	"Chilton County, AL"	"01021"	"2012"	"2012"	57	43819	130.1	98.5	168.5	131.4	99.3	170.7
	"Chilton County, AL"	"01021"	"2013"	"2013"	63	43951	143.3	110.1	183.4	137.6	105.3	176.8
	"Choctaw County, AL"	"01023"	"2009"	"2009"	14	13976	Unreliable	54.8	168.1	Unreliable	51.5	165.5
	"Choctaw County, AL"	"01023"	"2010"	"2010"	22	13859	158.7	99.5	240.3	166.0	101.4	256.3
	"Choctaw County, AL"	"01023"	"2011"	"2011"	17	13609	Unreliable	72.8	200.0	Unreliable	65.5	186.1
	"Choctaw County, AL"	"01023"	"2012"	"2012"	24	13633	176.0	112.8	261.9	171.3	107.4	259.4
	"Choctaw County, AL"	"01023"	"2013"	"2013"	23	13426	171.3	108.6	257.0	148.6	90.8	229.5
	"Clarke County, AL"	"01025"	"2009"	"2009"	21	26038	80.7	49.9	123.3	73.8	45.1	114.0
	"Clarke County, AL"	"01025"	"2010"	"2010"	37	25833	143.2	100.8	197.4	132.4	92.7	183.3
	"Clarke County, AL"	"01025"	"2011"	"2011"	24	25695	93.4	59.8	139.0	86.3	54.7	129.5
	"Clarke County, AL"	"01025"	"2012"	"2012"	31	25161	123.2	83.7	174.9	118.6	80.0	169.2
	"Clarke County, AL"	"01025"	"2013"	"2013"	36	25207	142.8	100.0	197.7	129.2	89.5	180.5
	"Clay County, AL"	"01027"	"2009"	"2009"	15	14006	Unreliable	59.9	176.6	Unreliable	52.0	153.3
	"Clay County, AL"	"01027"	"2010"	"2010"	16	13932	Unreliable	65.6	186.5	Unreliable	55.5	163.5
	"Clay County, AL"	"01027"	"2011"	"2011"	13	13862	Unreliable	49.9	160.4	Unreliable	39.5	133.6
	"Clay County, AL"	"01027"	"2012"	"2012"	14	13435	Unreliable	57.0	174.8	Unreliable	41.2	126.3
	"Clay County, AL"	"01027"	"2013"	"2013"	18	13486	Unreliable	79.1	210.9	Unreliable	67.7	186.1
	"Cleburne County, AL"	"01029"	"2009"	"2009"	22	14918	147.5	92.4	223.3	149.5	93.7	226.4
	"Cleburne County, AL"	"01029"	"2010"	"2010"	22	14972	146.9	92.1	222.5	140.5	87.0	214.8
	"Cleburne County, AL"	"01029"	"2011"	"2011"	11	14835	Unreliable	37.0	132.7	Unreliable	33.6	120.4
	"Cleburne County, AL"	"01029"	"2012"	"2012"	20	14832	134.8	82.4	208.3	131.2	79.0	204.9
	"Cleburne County, AL"	"01029"	"2013"	"2013"	24	14994	160.1	102.6	238.2	142.4	90.3	213.7
	"Coffee County, AL"	"01031"	"2009"	"2009"	35	49440	70.8	49.3	98.5	69.4	48.0	96.9
	"Coffee County, AL"	"01031"	"2010"	"2010"	63	49948	126.1	96.9	161.4	123.3	94.5	158.1
	"Coffee County, AL"	"01031"	"2011"	"2011"	47	50526	93.0	68.3	123.7	90.4	66.2	120.6
	"Coffee County, AL"	"01031"	"2012"	"2012"	55	51252	107.3	80.8	139.7	104.4	78.4	136.2
	"Coffee County, AL"	"01031"	"2013"	"2013"	48	50938	94.2	69.5	124.9	89.8	66.0	119.4
	"Colbert County, AL"	"01033"	"2009"	"2009"	65	54426	119.4	92.2	152.2	109.4	83.7	140.5
	"Colbert County, AL"	"01033"	"2010"	"2010"	86	54428	158.0	126.4	195.1	133.7	106.3	165.9
	"Colbert County, AL"	"01033"	"2011"	"2011"	81	54512	148.6	118.0	184.7	118.8	93.6	148.7
	"Colbert County, AL"	"01033"	"2012"	"2012"	79	54446	145.1	114.9	180.8	122.6	96.4	153.7
	"Colbert County, AL"	"01033"	"2013"	"2013"	82	54520	150.4	119.6	186.7	122.6	96.8	153.2
	"Conecuh County, AL"	"01035"	"2009"	"2009"	24	13274	180.8	115.8	269.0	176.3	110.5	267.0
	"Conecuh County, AL"	"01035"	"2010"	"2010"	22	13228	166.3	104.2	251.8	154.4	94.3	238.4
	"Conecuh County, AL"	"01035"	"2011"	"2011"	18	13105	Unreliable	81.4	217.1	Unreliable	68.2	187.3
	"Conecuh County, AL"	"01035"	"2012"	"2012"	16	12981	Unreliable	70.5	200.2	Unreliable	65.5	201.1
	"Conecuh County, AL"	"01035"	"2013"	"2013"	15	12887	Unreliable	65.1	192.0	Unreliable	55.6	178.7
	"Coosa County, AL"	"01037"	"2009"	"2009"	16	11410	Unreliable	80.2	227.7	Unreliable	75.9	223.8
	"Coosa County, AL"	"01037"	"2010"	"2010"	33	11539	286.0	196.9	401.6	253.5	172.2	359.8
	"Coosa County, AL"	"01037"	"2011"	"2011"	20	10713	186.7	114.0	288.3	199.5	120.1	311.6
	"Coosa County, AL"	"01037"	"2012"	"2012"	25	10966	228.0	147.5	336.5	195.5	124.0	293.4
	"Coosa County, AL"	"01037"	"2013"	"2013"	22	10898	201.9	126.5	305.6	168.0	104.0	256.8
	"Covington County, AL"	"01039"	"2009"	"2009"	41	37648	108.9	78.2	147.7	91.7	64.9	125.9
	"Covington County, AL"	"01039"	"2010"	"2010"	39	37765	103.3	73.4	141.2	87.5	61.3	121.1
	"Covington County, AL"	"01039"	"2011"	"2011"	33	38058	86.7	59.7	121.8	78.1	52.7	111.6
	"Covington County, AL"	"01039"	"2012"	"2012"	36	37955	94.8	66.4	131.3	78.5	53.7	110.8
	"Covington County, AL"	"01039"	"2013"	"2013"	32	37886	84.5	57.8	119.2	61.7	41.7	88.1
	"Crenshaw County, AL"	"01041"	"2009"	"2009"	21	14024	149.7	92.7	228.9	125.4	76.6	193.7
	"Crenshaw County, AL"	"01041"	"2010"	"2010"	16	13906	Unreliable	65.8	186.8	Unreliable	56.8	167.3
	"Crenshaw County, AL"	"01041"	"2011"	"2011"	16	13911	Unreliable	65.7	186.8	Unreliable	58.8	173.3
	"Crenshaw County, AL"	"01041"	"2012"	"2012"	20	14083	142.0	86.7	219.3	131.8	79.3	205.8
	"Crenshaw County, AL"	"01041"	"2013"	"2013"	15	13986	Unreliable	60.0	176.9	Unreliable	49.1	150.8
	"Cullman County, AL"	"01043"	"2009"	"2009"	96	80351	119.5	96.8	145.9	112.4	90.8	137.5
	"Cullman County, AL"	"01043"	"2010"	"2010"	92	80406	114.4	92.2	140.3	108.7	87.3	133.8
	"Cullman County, AL"	"01043"	"2011"	"2011"	98	80536	121.7	98.8	148.3	112.4	90.8	137.6
	"Cullman County, AL"	"01043"	"2012"	"2012"	120	80440	149.2	122.5	175.9	139.4	114.0	164.7
	"Cullman County, AL"	"01043"	"2013"	"2013"	136	80811	168.3	140.0	196.6	156.5	129.7	183.3
	"Dale County, AL"	"01045"	"2009"	"2009"	59	49854	118.3	90.1	152.7	124.0	94.2	160.4
	"Dale County, AL"	"01045"	"2010"	"2010"	39	50251	77.6	55.2	106.1	80.5	57.0	110.5
	"Dale County, AL"	"01045"	"2011"	"2011"	44	50044	87.9	63.9	118.0	93.7	67.8	126.3
	"Dale County, AL"	"01045"	"2012"	"2012"	46	50444	91.2	66.8	121.6	91.8	67.0	122.9
	"Dale County, AL"	"01045"	"2013"	"2013"	54	49884	108.3	81.3	141.2	109.5	81.8	143.6
	"Dallas County, AL"	"01047"	"2009"	"2009"	52	43759	118.8	88.8	155.8	121.1	89.9	159.7
	"Dallas County, AL"	"01047"	"2010"	"2010"	59	43820	134.6	102.5	173.7	133.9	101.4	173.4
	"Dallas County, AL"	"01047"	"2011"	"2011"	48	43332	110.8	81.7	146.9	115.3	84.4	153.8
	"Dallas County, AL"	"01047"	"2012"	"2012"	55	42864	128.3	96.7	167.0	128.8	96.7	168.0
	"Dallas County, AL"	"01047"	"2013"	"2013"	57	41996	135.7	102.8	175.9	134.1	101.0	174.5
	"DeKalb County, AL"	"01049"	"2009"	"2009"	92	70864	129.8	104.7	159.2	131.1	105.4	161.1
	"DeKalb County, AL"	"01049"	"2010"	"2010"	80	71109	112.5	89.2	140.0	115.2	91.2	143.6
	"DeKalb County, AL"	"01049"	"2011"	"2011"	114	71375	159.7	130.4	189.0	155.9	127.0	184.9
	"DeKalb County, AL"	"01049"	"2012"	"2012"	94	71080	132.2	106.9	161.8	131.1	105.7	160.8
	"DeKalb County, AL"	"01049"	"2013"	"2013"	102	71013	143.6	115.8	171.5	142.5	114.5	170.5
	"Elmore County, AL"	"01051"	"2009"	"2009"	93	78632	118.3	95.5	144.9	129.3	104.0	158.9
	"Elmore County, AL"	"01051"	"2010"	"2010"	108	79303	136.2	110.5	161.9	148.5	120.0	177.0
	"Elmore County, AL"	"01051"	"2011"	"2011"	86	80162	107.3	85.8	132.5	115.0	91.7	142.4
	"Elmore County, AL"	"01051"	"2012"	"2012"	93	80629	115.3	93.1	141.3	122.7	98.7	150.9
	"Elmore County, AL"	"01051"	"2013"	"2013"	99	80902	122.4	99.5	149.0	127.0	102.9	155.1
	"Escambia County, AL"	"01053"	"2009"	"2009"	83	38249	217.0	172.8	269.0	207.1	164.5	257.4
	"Escambia County, AL"	"01053"	"2010"	"2010"	65	38319	169.6	130.9	216.2	163.2	125.4	208.8
	"Escambia County, AL"	"01053"	"2011"	"2011"	63	38095	165.4	127.1	211.6	163.1	125.0	209.0
	"Escambia County, AL"	"01053"	"2012"	"2012"	50	37994	131.6	97.7	173.5	122.2	90.1	162.1
	"Escambia County, AL"	"01053"	"2013"	"2013"	63	37983	165.9	127.5	212.2	150.2	114.9	193.0
	"Etowah County, AL"	"01055"	"2009"	"2009"	128	104239	122.8	101.5	144.1	116.9	96.3	137.4
	"Etowah County, AL"	"01055"	"2010"	"2010"	147	104430	140.8	118.0	163.5	123.9	103.6	144.3
	"Etowah County, AL"	"01055"	"2011"	"2011"	174	104303	166.8	142.0	191.6	154.6	131.2	178.0
	"Etowah County, AL"	"01055"	"2012"	"2012"	140	104392	134.1	111.9	156.3	122.6	102.0	143.2
	"Etowah County, AL"	"01055"	"2013"	"2013"	158	103931	152.0	128.3	175.7	137.7	115.8	159.5
	"Fayette County, AL"	"01057"	"2009"	"2009"	38	17310	219.5	155.3	301.3	193.6	135.6	268.0
	"Fayette County, AL"	"01057"	"2010"	"2010"	46	17241	266.8	195.3	355.9	231.2	167.3	311.4
	"Fayette County, AL"	"01057"	"2011"	"2011"	27	17182	157.1	103.6	228.6	131.3	85.0	193.9
	"Fayette County, AL"	"01057"	"2012"	"2012"	30	16983	176.6	119.2	252.2	165.3	109.8	238.9
	"Fayette County, AL"	"01057"	"2013"	"2013"	25	16909	147.9	95.7	218.3	126.1	79.9	189.2
	"Franklin County, AL"	"01059"	"2009"	"2009"	31	31589	98.1	66.7	139.3	95.0	64.1	135.7
	"Franklin County, AL"	"01059"	"2010"	"2010"	40	31704	126.2	90.1	171.8	123.6	87.9	169.0
	"Franklin County, AL"	"01059"	"2011"	"2011"	90	31884	282.3	227.0	347.0	266.9	214.1	328.9
	"Franklin County, AL"	"01059"	"2012"	"2012"	42	31761	132.2	95.3	178.7	129.2	92.7	175.2
	"Franklin County, AL"	"01059"	"2013"	"2013"	58	31532	183.9	139.7	237.8	172.5	130.7	223.5
	"Geneva County, AL"	"01061"	"2009"	"2009"	41	26653	153.8	110.4	208.7	146.0	103.8	199.6
	"Geneva County, AL"	"01061"	"2010"	"2010"	32	26790	119.4	81.7	168.6	116.3	78.5	166.1
	"Geneva County, AL"	"01061"	"2011"	"2011"	32	26781	119.5	81.7	168.7	103.1	69.6	147.2
	"Geneva County, AL"	"01061"	"2012"	"2012"	26	26931	96.5	63.1	141.5	83.8	53.7	124.7
	"Geneva County, AL"	"01061"	"2013"	"2013"	40	26727	149.7	106.9	203.8	127.0	89.4	175.1
	"Greene County, AL"	"01063"	"2011"	"2011"	11	8921	Unreliable	61.6	220.6	Unreliable	51.0	195.7
	"Greene County, AL"	"01063"	"2012"	"2012"	11	8876	Unreliable	61.9	221.7	Unreliable	52.1	216.5
	"Greene County, AL"	"01063"	"2013"	"2013"	16	8744	Unreliable	104.6	297.2	Unreliable	90.9	278.9
	"Hale County, AL"	"01065"	"2009"	"2009"	17	16025	Unreliable	61.8	169.9	Unreliable	62.0	176.0
	"Hale County, AL"	"01065"	"2010"	"2010"	15	15760	Unreliable	53.3	157.0	Unreliable	50.2	154.1
	"Hale County, AL"	"01065"	"2011"	"2011"	24	15421	155.6	99.7	231.6	145.9	92.5	218.9
	"Hale County, AL"	"01065"	"2012"	"2012"	12	15388	Unreliable	40.3	136.2	Unreliable	36.6	131.3
	"Hale County, AL"	"01065"	"2013"	"2013"	24	15406	155.8	99.8	231.8	137.3	86.1	207.9
	"Henry County, AL"	"01067"	"2009"	"2009"	19	17243	Unreliable	66.3	172.1	Unreliable	55.9	149.0
	"Henry County, AL"	"01067"	"2010"	"2010"	19	17302	Unreliable	66.1	171.5	Unreliable	62.1	165.7
	"Henry County, AL"	"01067"	"2011"	"2011"	25	17412	143.6	92.9	212.0	121.5	77.0	182.2
	"Henry County, AL"	"01067"	"2012"	"2012"	20	17287	115.7	70.7	178.7	108.2	65.1	168.9
	"Henry County, AL"	"01067"	"2013"	"2013"	28	17296	161.9	107.6	234.0	125.8	82.2	184.3
	"Houston County, AL"	"01069"	"2009"	"2009"	94	100500	93.5	75.6	114.5	90.9	73.3	111.5
	"Houston County, AL"	"01069"	"2010"	"2010"	122	101547	120.1	98.8	141.5	113.4	93.1	133.7
	"Houston County, AL"	"01069"	"2011"	"2011"	129	102369	126.0	104.3	147.8	120.2	99.2	141.2
	"Houston County, AL"	"01069"	"2012"	"2012"	111	103402	107.3	87.4	127.3	99.2	80.5	117.9
	"Houston County, AL"	"01069"	"2013"	"2013"	124	103668	119.6	98.6	140.7	110.5	90.8	130.2
	"Jackson County, AL"	"01071"	"2009"	"2009"	70	53461	130.9	102.1	165.4	128.9	99.9	163.8
	"Jackson County, AL"	"01071"	"2010"	"2010"	70	53227	131.5	102.5	166.2	125.1	97.0	158.9
	"Jackson County, AL"	"01071"	"2011"	"2011"	86	53291	161.4	129.1	199.3	152.5	121.5	189.1
	"Jackson County, AL"	"01071"	"2012"	"2012"	74	53019	139.6	109.6	175.2	125.2	97.6	158.1
	"Jackson County, AL"	"01071"	"2013"	"2013"	92	52951	173.7	140.1	213.1	157.0	125.7	193.6
	"Jefferson County, AL"	"01073"	"2009"	"2009"	947	658441	143.8	134.7	153.0	134.5	125.9	143.2
	"Jefferson County, AL"	"01073"	"2010"	"2010"	878	658466	133.3	124.5	142.2	123.7	115.4	132.0
	"Jefferson County, AL"	"01073"	"2011"	"2011"	991	658931	150.4	141.0	159.8	140.6	131.7	149.5
	"Jefferson County, AL"	"01073"	"2012"	"2012"	1036	660009	157.0	147.4	166.5	145.5	136.5	154.5
	"Jefferson County, AL"	"01073"	"2013"	"2013"	1033	659479	156.6	147.1	166.2	143.6	134.7	152.5
	"Lamar County, AL"	"01075"	"2009"	"2009"	38	14689	258.7	183.1	355.1	232.2	162.6	321.4
	"Lamar County, AL"	"01075"	"2010"	"2010"	23	14564	157.9	100.1	237.0	145.6	90.1	222.6
	"Lamar County, AL"	"01075"	"2011"	"2011"	21	14311	146.7	90.8	224.3	129.3	77.8	201.8
	"Lamar County, AL"	"01075"	"2012"	"2012"	19	14259	Unreliable	80.2	208.1	Unreliable	67.9	186.7
	"Lamar County, AL"	"01075"	"2013"	"2013"	22	14236	154.5	96.8	234.0	134.0	82.9	204.8
	"Lauderdale County, AL"	"01077"	"2009"	"2009"	96	92526	103.8	84.0	126.7	96.1	77.5	117.9
	"Lauderdale County, AL"	"01077"	"2010"	"2010"	122	92709	131.6	108.2	154.9	118.3	96.8	139.8
	"Lauderdale County, AL"	"01077"	"2011"	"2011"	135	92781	145.5	121.0	170.0	125.2	103.6	146.9
	"Lauderdale County, AL"	"01077"	"2012"	"2012"	109	92542	117.8	95.7	139.9	105.3	84.8	125.7
	"Lauderdale County, AL"	"01077"	"2013"	"2013"	132	92797	142.2	118.0	166.5	115.0	95.0	135.1
	"Lawrence County, AL"	"01079"	"2009"	"2009"	43	34315	125.3	90.7	168.8	125.9	90.3	170.8
	"Lawrence County, AL"	"01079"	"2010"	"2010"	55	34339	160.2	120.7	208.5	154.6	115.8	202.2
	"Lawrence County, AL"	"01079"	"2011"	"2011"	59	34117	172.9	131.6	223.1	165.3	124.8	214.6
	"Lawrence County, AL"	"01079"	"2012"	"2012"	44	33838	130.0	94.5	174.6	130.1	93.8	175.9
	"Lawrence County, AL"	"01079"	"2013"	"2013"	43	33587	128.0	92.7	172.4	127.7	91.6	173.2
	"Lee County, AL"	"01081"	"2009"	"2009"	100	138566	72.2	58.0	86.3	90.4	72.0	108.8
	"Lee County, AL"	"01081"	"2010"	"2010"	111	140247	79.1	64.4	93.9	101.9	82.3	121.6
	"Lee County, AL"	"01081"	"2011"	"2011"	103	143468	71.8	57.9	85.7	96.4	77.2	115.6
	"Lee County, AL"	"01081"	"2012"	"2012"	142	147257	96.4	80.6	112.3	122.6	101.6	143.6
	"Lee County, AL"	"01081"	"2013"	"2013"	136	150933	90.1	75.0	105.3	116.0	95.8	136.1
	"Limestone County, AL"	"01083"	"2009"	"2009"	71	81326	87.3	68.2	110.1	88.6	69.0	112.2
	"Limestone County, AL"	"01083"	"2010"	"2010"	90	82782	108.7	87.4	133.6	120.1	96.4	148.0
	"Limestone County, AL"	"01083"	"2011"	"2011"	97	85369	113.6	92.1	138.6	119.3	96.4	146.0
	"Limestone County, AL"	"01083"	"2012"	"2012"	86	87654	98.1	78.5	121.2	102.1	81.3	126.6
	"Limestone County, AL"	"01083"	"2013"	"2013"	76	88845	85.5	67.4	107.1	90.7	71.2	113.8
	"Lowndes County, AL"	"01085"	"2009"	"2009"	16	11486	Unreliable	79.6	226.2	Unreliable	85.6	252.3
	"Lowndes County, AL"	"01085"	"2010"	"2010"	15	11299	Unreliable	74.3	219.0	Unreliable	81.7	240.6
	"Lowndes County, AL"	"01085"	"2011"	"2011"	16	11147	Unreliable	82.0	233.1	Unreliable	77.5	228.4
	"Lowndes County, AL"	"01085"	"2012"	"2012"	13	10857	Unreliable	63.8	204.8	Unreliable	66.2	223.8
	"Lowndes County, AL"	"01085"	"2013"	"2013"	18	10703	Unreliable	99.7	265.8	Unreliable	92.9	264.0
	"Macon County, AL"	"01087"	"2009"	"2009"	30	21190	141.6	95.5	202.1	148.4	98.6	214.5
	"Macon County, AL"	"01087"	"2010"	"2010"	31	21452	144.5	98.2	205.1	123.8	82.9	177.8
	"Macon County, AL"	"01087"	"2011"	"2011"	36	21182	170.0	119.0	235.3	157.3	108.9	219.8
	"Macon County, AL"	"01087"	"2012"	"2012"	35	20535	170.4	118.7	237.0	153.5	104.3	217.9
	"Macon County, AL"	"01087"	"2013"	"2013"	25	19688	127.0	82.2	187.4	123.5	76.4	188.7
	"Madison County, AL"	"01089"	"2009"	"2009"	272	330856	82.2	72.4	92.0	86.5	76.2	96.9
	"Madison County, AL"	"01089"	"2010"	"2010"	328	334811	98.0	87.4	108.6	101.8	90.7	112.9
	"Madison County, AL"	"01089"	"2011"	"2011"	327	340111	96.1	85.7	106.6	100.0	89.0	110.9
	"Madison County, AL"	"01089"	"2012"	"2012"	350	343080	102.0	91.3	112.7	102.7	91.8	113.5
	"Madison County, AL"	"01089"	"2013"	"2013"	379	346892	109.3	98.3	120.3	109.3	98.2	120.4
	"Marengo County, AL"	"01091"	"2009"	"2009"	18	21170	Unreliable	50.4	134.4	Unreliable	43.9	120.6
	"Marengo County, AL"	"01091"	"2010"	"2010"	27	21027	128.4	84.6	186.8	117.3	75.9	173.2
	"Marengo County, AL"	"01091"	"2011"	"2011"	15	20692	Unreliable	40.6	119.6	Unreliable	34.2	104.8
	"Marengo County, AL"	"01091"	"2012"	"2012"	29	20401	142.1	95.2	204.2	114.6	75.5	166.8
	"Marengo County, AL"	"01091"	"2013"	"2013"	40	20155	198.5	141.8	270.2	151.1	106.4	208.2
	"Marion County, AL"	"01093"	"2009"	"2009"	42	30646	137.0	98.8	185.3	107.9	77.1	146.9
	"Marion County, AL"	"01093"	"2010"	"2010"	43	30776	139.7	101.1	188.2	127.9	91.4	174.1
	"Marion County, AL"	"01093"	"2011"	"2011"	75	30663	244.6	192.4	306.6	208.4	162.5	263.3
	"Marion County, AL"	"01093"	"2012"	"2012"	53	30327	174.8	130.9	228.6	151.0	111.7	199.7
	"Marion County, AL"	"01093"	"2013"	"2013"	61	30334	201.1	153.8	258.3	166.2	125.9	215.3
	"Marshall County, AL"	"01095"	"2009"	"2009"	104	92213	112.8	91.1	134.5	112.0	90.3	133.7
	"Marshall County, AL"	"01095"	"2010"	"2010"	121	93019	130.1	106.9	153.3	126.7	103.9	149.5
	"Marshall County, AL"	"01095"	"2011"	"2011"	111	94166	117.9	95.9	139.8	111.9	90.8	132.9
	"Marshall County, AL"	"01095"	"2012"	"2012"	123	94776	129.8	106.8	152.7	129.0	106.0	152.1
	"Marshall County, AL"	"01095"	"2013"	"2013"	136	94760	143.5	119.4	167.6	138.9	115.3	162.6
	"Mobile County, AL"	"01097"	"2009"	"2009"	493	411994	119.7	109.1	130.2	121.1	110.3	131.9
	"Mobile County, AL"	"01097"	"2010"	"2010"	550	412992	133.2	122.0	144.3	135.1	123.7	146.5
	"Mobile County, AL"	"01097"	"2011"	"2011"	550	412577	133.3	122.2	144.4	132.7	121.5	143.9
	"Mobile County, AL"	"01097"	"2012"	"2012"	608	413936	146.9	135.2	158.6	145.1	133.4	156.8
