"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Winston County, AL"	"01133"	"2016"	"2016"	26	23805	109.2	98.3
	"Winston County, AL"	"01133"	"2017"	"2017"	28	23722	118.0	93.8
	"Winston County, AL"	"01133"	"2018"	"2018"	31	23660	131.0	104.9
	"Anchorage Borough, AK"	"02020"	"2015"	"2015"	377	298695	126.2	153.3
	"Anchorage Borough, AK"	"02020"	"2016"	"2016"	385	298192	129.1	152.4
	"Anchorage Borough, AK"	"02020"	"2017"	"2017"	361	294356	122.6	137.7
	"Anchorage Borough, AK"	"02020"	"2018"	"2018"	349	291538	119.7	129.9
	"Bethel Census Area, AK"	"02050"	"2015"	"2015"	40	17946	222.9	284.5
	"Bethel Census Area, AK"	"02050"	"2016"	"2016"	38	17968	211.5	299.7
	"Bethel Census Area, AK"	"02050"	"2017"	"2017"	39	18076	215.8	220.8
	"Bethel Census Area, AK"	"02050"	"2018"	"2018"	44	18216	241.5	351.1
	"Dillingham Census Area, AK"	"02070"	"2015"	"2015"	10	4997	Unreliable	Unreliable
	"Dillingham Census Area, AK"	"02070"	"2018"	"2018"	12	5000	Unreliable	Unreliable
	"Fairbanks North Star Borough, AK"	"02090"	"2015"	"2015"	80	99631	80.3	100.3
	"Fairbanks North Star Borough, AK"	"02090"	"2016"	"2016"	105	100605	104.4	121.8
	"Fairbanks North Star Borough, AK"	"02090"	"2017"	"2017"	103	99703	103.3	118.8
	"Fairbanks North Star Borough, AK"	"02090"	"2018"	"2018"	97	98971	98.0	105.7
	"Juneau Borough, AK"	"02110"	"2015"	"2015"	37	32756	113.0	121.3
	"Juneau Borough, AK"	"02110"	"2016"	"2016"	33	32468	101.6	106.4
	"Juneau Borough, AK"	"02110"	"2017"	"2017"	52	32094	162.0	184.4
	"Juneau Borough, AK"	"02110"	"2018"	"2018"	30	32113	93.4	93.2
	"Kenai Peninsula Borough, AK"	"02122"	"2015"	"2015"	79	58059	136.1	142.6
	"Kenai Peninsula Borough, AK"	"02122"	"2016"	"2016"	90	58506	153.8	157.7
	"Kenai Peninsula Borough, AK"	"02122"	"2017"	"2017"	72	58617	122.8	130.0
	"Kenai Peninsula Borough, AK"	"02122"	"2018"	"2018"	74	58533	126.4	123.2
	"Ketchikan Gateway Borough, AK"	"02130"	"2015"	"2015"	10	13709	Unreliable	Unreliable
	"Ketchikan Gateway Borough, AK"	"02130"	"2016"	"2016"	21	13746	152.8	151.6
	"Ketchikan Gateway Borough, AK"	"02130"	"2017"	"2017"	21	13856	151.6	132.5
	"Ketchikan Gateway Borough, AK"	"02130"	"2018"	"2018"	21	13918	150.9	150.1
	"Kodiak Island Borough, AK"	"02150"	"2015"	"2015"	13	13889	Unreliable	Unreliable
	"Kodiak Island Borough, AK"	"02150"	"2016"	"2016"	10	13732	Unreliable	Unreliable
	"Kodiak Island Borough, AK"	"02150"	"2018"	"2018"	17	13345	Unreliable	Unreliable
	"Matanuska-Susitna Borough, AK"	"02170"	"2015"	"2015"	113	101095	111.8	156.1
	"Matanuska-Susitna Borough, AK"	"02170"	"2016"	"2016"	111	104365	106.4	130.8
	"Matanuska-Susitna Borough, AK"	"02170"	"2017"	"2017"	125	106532	117.3	138.2
	"Matanuska-Susitna Borough, AK"	"02170"	"2018"	"2018"	122	107610	113.4	139.8
	"Nome Census Area, AK"	"02180"	"2015"	"2015"	14	9846	Unreliable	Unreliable
	"Nome Census Area, AK"	"02180"	"2016"	"2016"	17	9917	Unreliable	Unreliable
	"Nome Census Area, AK"	"02180"	"2017"	"2017"	28	9921	282.2	338.0
	"Nome Census Area, AK"	"02180"	"2018"	"2018"	15	10008	Unreliable	Unreliable
	"North Slope Borough, AK"	"02185"	"2015"	"2015"	13	9687	Unreliable	Unreliable
	"North Slope Borough, AK"	"02185"	"2017"	"2017"	12	9782	Unreliable	Unreliable
	"North Slope Borough, AK"	"02185"	"2018"	"2018"	14	9872	Unreliable	Unreliable
	"Northwest Arctic Borough, AK"	"02188"	"2015"	"2015"	18	7752	Unreliable	Unreliable
	"Northwest Arctic Borough, AK"	"02188"	"2016"	"2016"	17	7673	Unreliable	Unreliable
	"Northwest Arctic Borough, AK"	"02188"	"2017"	"2017"	18	7684	Unreliable	Unreliable
	"Northwest Arctic Borough, AK"	"02188"	"2018"	"2018"	23	7671	299.8	329.4
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2016"	"2016"	13	6347	Unreliable	Unreliable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2017"	"2017"	16	6443	Unreliable	Unreliable
	"Prince of Wales-Hyder Census Area, AK"	"02198"	"2018"	"2018"	11	6422	Unreliable	Unreliable
	"Sitka Borough, AK"	"02220"	"2015"	"2015"	12	8863	Unreliable	Unreliable
	"Sitka Borough, AK"	"02220"	"2017"	"2017"	11	8689	Unreliable	Unreliable
	"Sitka Borough, AK"	"02220"	"2018"	"2018"	11	8647	Unreliable	Unreliable
	"Southeast Fairbanks Census Area, AK"	"02240"	"2016"	"2016"	10	6876	Unreliable	Unreliable
	"Valdez-Cordova Census Area, AK"	"02261"	"2015"	"2015"	15	9362	Unreliable	Unreliable
	"Valdez-Cordova Census Area, AK"	"02261"	"2016"	"2016"	15	9355	Unreliable	Unreliable
	"Valdez-Cordova Census Area, AK"	"02261"	"2018"	"2018"	20	9164	218.2	207.5
	"Wade Hampton Census Area, AK"	"02270"	"2015"	"2015"	32	8119	394.1	473.3
	"Wade Hampton Census Area, AK"	"02270"	"2016"	"2016"	23	8049	285.7	395.7
	"Wade Hampton Census Area, AK"	"02270"	"2017"	"2017"	25	8202	304.8	375.8
	"Wade Hampton Census Area, AK"	"02270"	"2018"	"2018"	19	8303	Unreliable	Unreliable
	"Yukon-Koyukuk Census Area, AK"	"02290"	"2015"	"2015"	17	5533	Unreliable	Unreliable
	"Yukon-Koyukuk Census Area, AK"	"02290"	"2016"	"2016"	20	5526	361.9	309.5
	"Yukon-Koyukuk Census Area, AK"	"02290"	"2017"	"2017"	16	5365	Unreliable	Unreliable
	"Yukon-Koyukuk Census Area, AK"	"02290"	"2018"	"2018"	16	5327	Unreliable	Unreliable
	"Apache County, AZ"	"04001"	"2015"	"2015"	195	71474	272.8	293.0
	"Apache County, AZ"	"04001"	"2016"	"2016"	173	73112	236.6	253.9
